Date,USDCNY_MID,USDCNY_SPOT,USDCNH,DXY,USDCHF,USDSEK,USDCAD,GBPUSD,CFETS,EURUSD,USDJPY,Basket_Impact,DXY_Impact,CNH_Impact,CCF_Value,Strength
2026-01-06,7.017300,6.983800,6.980700,98.580000,0.795700,9.201500,1.381500,1.350100,,1.168900,156.677500,-0.000000,0.004409,-0.000310,0.024801,强
2026-01-07,7.018700,6.999300,6.993500,98.684000,0.797900,9.186200,1.386100,1.345800,,1.167600,156.767000,-0.000000,0.001474,-0.000580,0.034006,强
2026-01-08,7.019700,6.983800,6.982200,98.934000,0.798800,9.218100,1.386500,1.344000,,1.165900,156.870500,-0.000000,0.003546,-0.000160,0.017014,中
2026-01-09,7.012800,6.977400,6.976300,99.133000,0.801200,9.208100,1.391500,1.340400,98.540000,1.163600,157.910500,-0.000000,0.002810,-0.000110,0.026300,强
2026-01-12,7.010800,6.973100,6.969500,98.862000,0.797400,9.170300,1.387900,1.346500,98.540000,1.166600,158.162000,-0.000000,-0.003815,-0.000360,0.037575,强
2026-01-13,7.010300,6.976900,6.973700,99.134000,0.801100,9.224600,1.389100,1.342200,98.540000,1.164300,159.175500,-0.000000,0.003837,-0.000320,0.033683,强
2026-01-14,7.012000,6.973800,6.971300,99.134000,0.799900,9.198100,1.388200,1.344400,98.540000,1.164500,158.455000,-0.000000,0.000000,-0.000250,0.035350,强
2026-01-15,7.006400,6.966600,6.963000,99.321000,0.803200,9.223100,1.389300,1.338200,98.540000,1.160900,158.627000,-0.000000,0.002631,-0.000360,0.030329,强
2026-01-16,7.007800,6.968700,6.967500,99.393000,0.803000,9.222300,1.391600,1.337800,98.790000,1.159800,158.078000,-0.008837,0.001010,-0.000120,0.049147,强
2026-01-19,7.005100,6.963700,6.956800,99.393000,0.797400,9.207500,1.386900,1.342600,98.790000,1.164600,158.134500,-0.000000,0.000000,-0.000690,0.037090,强
2026-01-20,7.000600,6.961000,6.955800,98.641000,0.789900,9.126200,1.383700,1.344200,98.790000,1.172700,158.160500,-0.000000,-0.010537,-0.000520,0.047957,强
2026-01-21,7.001400,6.963800,6.959700,98.761000,0.795600,9.106400,1.383300,1.343000,98.790000,1.168600,158.309500,-0.000000,0.001694,-0.000410,0.039116,强
2026-01-22,7.001900,6.973200,6.964100,98.359000,0.789000,9.007400,1.378600,1.350200,98.790000,1.175500,158.423000,-0.000000,-0.005669,-0.000910,0.044679,强
2026-01-23,6.992900,6.963500,6.949000,97.599000,0.780400,8.947900,1.370100,1.364400,98.240000,1.182900,155.672500,0.019411,-0.010776,-0.001450,0.012515,中
2026-01-26,6.984300,6.954300,6.949200,97.040000,0.777000,8.934400,1.370900,1.368000,98.240000,1.188000,154.204500,-0.000000,-0.007977,-0.000510,0.029287,强
2026-01-27,6.985800,6.954700,6.933800,96.217000,0.761300,8.771900,1.357600,1.384900,98.240000,1.204100,152.197000,-0.000000,-0.011796,-0.002090,0.045386,强
2026-01-28,6.975500,6.946200,6.943600,96.446000,0.768300,8.837300,1.355800,1.380700,98.240000,1.195400,153.419500,-0.000000,0.003310,-0.000260,0.017750,中
2026-01-29,6.977100,6.948100,6.944800,96.283000,0.764300,8.804100,1.349000,1.381100,98.240000,1.197100,153.097000,-0.000000,-0.002348,-0.000330,0.033578,强
2026-01-30,6.967800,6.951400,6.958900,97.147000,0.773000,8.920900,1.361900,1.368400,96.990000,1.185100,154.777000,0.044204,0.012470,0.000750,-0.037723,强
